Name,Category,In Market,Tradeable,Credit Price,Plat Price,Expiry
/Lotus/StoreItems/Levels/ClanDojo/ComponentPropRecipes/VaultTestRecipe,Recipes,NO,NO,?,?,
/Lotus/StoreItems/Types/Game/DojoDecorationRecipeItem,Recipes,NO,NO,?,?,
/Lotus/StoreItems/Types/Game/DojoRecipeItem,Recipes,NO,NO,?,?,
/Lotus/StoreItems/Types/Game/RecipeItem,Recipes,NO,NO,?,?,
/Lotus/StoreItems/Types/Items/MiscItems/ClanCreator,MiscItems,NO,NO,?,?,
/Lotus/StoreItems/Types/Items/Plants/MiscItems/PlantItem,MiscItems,NO,NO,?,?,
/Lotus/StoreItems/Types/Keys/DerelictKeyBlueprint,Recipes,NO,NO,5000,?,
/Lotus/StoreItems/Types/Keys/QuestKeyA,LevelKeys,NO,YES,?,75,
/Lotus/StoreItems/Types/Keys/QuestKeyB,LevelKeys,NO,YES,?,75,
/Lotus/StoreItems/Types/Keys/QuestKeyC,LevelKeys,NO,YES,?,75,
/Lotus/StoreItems/Types/Keys/QuestKeyChainA,MiscItems,NO,NO,?,?,
/Lotus/StoreItems/Types/Keys/QuestKeyChainB,MiscItems,NO,NO,?,?,
/Lotus/StoreItems/Types/Keys/QuestKeyChainC,MiscItems,NO,NO,?,?,
/Lotus/StoreItems/Types/Keys/QuestKeyChainD,MiscItems,NO,NO,?,?,
/Lotus/StoreItems/Types/Keys/TestKeyA,LevelKeys,NO,YES,?,75,
/Lotus/StoreItems/Types/Keys/TestKeyB,LevelKeys,NO,YES,?,75,
/Lotus/StoreItems/Types/Keys/TestKeyC,LevelKeys,NO,YES,?,75,
/Lotus/StoreItems/Types/Keys/TestKeyCorpusOutpostRescueMed,LevelKeys,NO,YES,?,75,
/Lotus/StoreItems/Types/Keys/TestKeyCorpusShipRescue,LevelKeys,NO,YES,?,75,
/Lotus/StoreItems/Types/Keys/TestKeyCorpusShipRescueHard,LevelKeys,NO,YES,?,75,
/Lotus/StoreItems/Types/Keys/TestKeyCorpusShipRescueMed,LevelKeys,NO,YES,?,75,
/Lotus/StoreItems/Types/Keys/TestKeyCorpusShipRescueNightmare,LevelKeys,NO,YES,?,75,
/Lotus/StoreItems/Types/Keys/TestKeyCorpusToCorpusInfested,LevelKeys,NO,YES,?,75,
/Lotus/StoreItems/Types/Keys/TestKeyCorpusToGrineerTeleport,LevelKeys,NO,YES,?,75,
/Lotus/StoreItems/Types/Keys/TestKeyForestBoss,LevelKeys,NO,YES,?,75,
/Lotus/StoreItems/Types/Keys/TestKeyForestCapture,LevelKeys,NO,YES,?,75,
/Lotus/StoreItems/Types/Keys/TestKeyForestEndlessDefense,LevelKeys,NO,YES,?,75,
/Lotus/StoreItems/Types/Keys/TestKeyForestExtermination,LevelKeys,NO,YES,?,75,
/Lotus/StoreItems/Types/Keys/TestKeyForestMobileDefense,LevelKeys,NO,YES,?,75,
/Lotus/StoreItems/Types/Keys/TestKeyForestSurvival,LevelKeys,NO,YES,?,75,
/Lotus/StoreItems/Types/Keys/TestKeyForestTerritories,LevelKeys,NO,YES,?,75,
/Lotus/StoreItems/Types/Keys/TestKeyGasCapture,LevelKeys,NO,YES,?,75,
/Lotus/StoreItems/Types/Keys/TestKeyGasCounterIntel,LevelKeys,NO,YES,?,75,
/Lotus/StoreItems/Types/Keys/TestKeyGasDefense,LevelKeys,NO,YES,?,75,
/Lotus/StoreItems/Types/Keys/TestKeyGasExterminate,LevelKeys,NO,YES,?,75,
/Lotus/StoreItems/Types/Keys/TestKeyGasIntel,LevelKeys,NO,YES,?,75,
/Lotus/StoreItems/Types/Keys/TestKeyGasMobileDefense,LevelKeys,NO,YES,?,75,
/Lotus/StoreItems/Types/Keys/TestKeyGasRescue,LevelKeys,NO,YES,?,75,
/Lotus/StoreItems/Types/Keys/TestKeyGasSabotage,LevelKeys,NO,YES,?,75,
/Lotus/StoreItems/Types/Keys/TestKeyGasSurvival,LevelKeys,NO,YES,?,75,
/Lotus/StoreItems/Types/Keys/TestKeyGrineerGalleonBoss,LevelKeys,NO,YES,?,75,
/Lotus/StoreItems/Types/Keys/TestKeyGrineerToCorpusTorpedo,LevelKeys,NO,YES,?,75,
