Result Item,Mat1,Mat1 Count,Mat2,Mat2 Count,Mat3,Mat3 Count,Mat4,Mat4 Count,Build Time,Price,Skip Build Price
/Lotus/Language/Clantech/Grenadelaunchername (/Lotus/StoreItems/Weapons/Corpus/LongGuns/GrenadeLauncher/GrenadeLauncher),Modulo Di Controllo (/Lotus/Types/Items/MiscItems/ControlModule),3,Circuiti (/Lotus/Types/Items/MiscItems/Circuits),1000,Ferrite (/Lotus/Types/Items/MiscItems/Ferrite),1200,Piastra In Lega (/Lotus/Types/Items/MiscItems/AlloyPlate),400,86400,30000,40
/Lotus/Language/Dojo/Vaulttest Blueprint (/Lotus/Levels/ClanDojo/ComponentPropRecipes/VaultTestRecipe),Ferrite (/Lotus/Types/Items/MiscItems/Ferrite),10,,,,,,,60,,25
/Lotus/Language/Items/Advancedresourcedrone (/Lotus/StoreItems/Types/Ship/AdvancedResourceDrone),Piastra In Lega (/Lotus/Types/Items/MiscItems/AlloyPlate),500,Nano Spore (/Lotus/Types/Items/MiscItems/Nanospores),300,,,,,21600,,5
/Lotus/Language/Items/Advanceducresourcedrone (/Lotus/StoreItems/Types/Ship/AdvancedUcResourceDrone),Kit Polimero (/Lotus/Types/Items/MiscItems/PolymerBundle),2000,/Lotus/Language/Items/Oxiumname (/Lotus/Types/Items/MiscItems/OxiumAlloy),300,,,,,21600,1,5
/Lotus/Language/Items/Akimbosomapistolsname (/Lotus/StoreItems/Weapons/Tenno/Pistols/SomaSidearm/AkimboSomaPistols),/Lotus/Language/Items/Tennouziname (/Lotus/Weapons/Tenno/Pistols/TennoUzi/TennoUzi),1,/Lotus/Language/Items/Cryotic (/Lotus/Types/Items/MiscItems/Cryotic),200,Cella Orokin (/Lotus/Types/Items/MiscItems/OrokinCell),1,,,43200,20000,25
/Lotus/Language/Items/Aklexname (/Lotus/StoreItems/Weapons/Tenno/Akimbo/AkLexPistols),Lex (/Lotus/Weapons/Tenno/Pistol/HeavyPistol),1,Lex (/Lotus/Weapons/Tenno/Pistol/HeavyPistol),1,Cella Orokin (/Lotus/Types/Items/MiscItems/OrokinCell),1,,,43200,20000,25
/Lotus/Language/Items/Akmagnusname (/Lotus/StoreItems/Weapons/Tenno/Akimbo/DualMagnus),/Lotus/Language/Items/Magnumname (/Lotus/Weapons/Tenno/Pistols/Magnum/Magnum),1,/Lotus/Language/Items/Magnumname (/Lotus/Weapons/Tenno/Pistols/Magnum/Magnum),1,Cella Orokin (/Lotus/Types/Items/MiscItems/OrokinCell),2,,,43200,50000,25
/Lotus/Language/Items/Ancienthealerball (/Lotus/StoreItems/Types/Restoratives/Consumable/AncientHealerBall),Nano Spore (/Lotus/Types/Items/MiscItems/Nanospores),2500,Reperti (/Lotus/Types/Items/MiscItems/Salvage),2500,Ferrite (/Lotus/Types/Items/MiscItems/Ferrite),2500,,,28800,,10
/Lotus/Language/Items/Ankyrosprimename (/Lotus/StoreItems/Weapons/Tenno/Melee/Gauntlet/PrimeAnkyros/PrimeAnkyros),WeaponParts/AnkyrosPrimeBlade,2,WeaponParts/AnkyrosPrimeGauntlet,2,Cella Orokin (/Lotus/Types/Items/MiscItems/OrokinCell),10,,,43200,,50
/Lotus/Language/Items/Antlerbowname (/Lotus/StoreItems/Weapons/Tenno/Bows/AntlerBow/AntlerBow),Gallium (/Lotus/Types/Items/MiscItems/Gallium),3,Plastidi (/Lotus/Types/Items/MiscItems/Plastids),700,Kit Polimero (/Lotus/Types/Items/MiscItems/PolymerBundle),600,Ferrite (/Lotus/Types/Items/MiscItems/Ferrite),1750,43200,20000,45
