Result Item,Mat1,Mat1 Count,Mat2,Mat2 Count,Mat3,Mat3 Count,Mat4,Mat4 Count,Build Time,Price,Skip Build Price
/Lotus/Language/Dojo/Vaulttest Blueprint (/Lotus/Levels/ClanDojo/ComponentPropRecipes/VaultTestRecipe),Ferrite (/Lotus/Types/Items/MiscItems/Ferrite),10,,,,,,,60,,25
/Lotus/Language/Items/Imprintedtraitprintname (/Lotus/StoreItems/Types/Game/KubrowPet/ImprintedTraitPrint),BlankTraitPrint,1,,,,,,,5400,,10
/Lotus/Levels/ClanDojo/ClanConnectorElbowA.level,Salvage (/Lotus/Types/Items/MiscItems/Salvage),65000,Ferrite (/Lotus/Types/Items/MiscItems/Ferrite),35000,Nano Spores (/Lotus/Types/Items/MiscItems/Nanospores),120000,Forma (/Lotus/Types/Items/MiscItems/Forma),5,43200,50000,750
/Lotus/Levels/ClanDojo/ClanConnectorPlusA.level,Salvage (/Lotus/Types/Items/MiscItems/Salvage),65000,Ferrite (/Lotus/Types/Items/MiscItems/Ferrite),35000,Nano Spores (/Lotus/Types/Items/MiscItems/Nanospores),120000,Forma (/Lotus/Types/Items/MiscItems/Forma),5,43200,50000,750
/Lotus/Levels/ClanDojo/ClanConnectorSmallA.level,Salvage (/Lotus/Types/Items/MiscItems/Salvage),65000,Ferrite (/Lotus/Types/Items/MiscItems/Ferrite),35000,Nano Spores (/Lotus/Types/Items/MiscItems/Nanospores),120000,Forma (/Lotus/Types/Items/MiscItems/Forma),5,43200,50000,750
/Lotus/Levels/ClanDojo/ClanConnectorTJunctionA.level,Salvage (/Lotus/Types/Items/MiscItems/Salvage),65000,Ferrite (/Lotus/Types/Items/MiscItems/Ferrite),35000,Nano Spores (/Lotus/Types/Items/MiscItems/Nanospores),120000,Forma (/Lotus/Types/Items/MiscItems/Forma),5,43200,50000,750
/Lotus/Levels/ClanDojo/ClanDojoBarracksMoon.level,Alloy Plate (/Lotus/Types/Items/MiscItems/AlloyPlate),15000,Ferrite (/Lotus/Types/Items/MiscItems/Ferrite),60000,Rubedo (/Lotus/Types/Items/MiscItems/Rubedo),30000,Forma (/Lotus/Types/Items/MiscItems/Forma),25,86400,100000,1500
/Lotus/Levels/ClanDojo/ClanDojoBarracksMountain.level,Alloy Plate (/Lotus/Types/Items/MiscItems/AlloyPlate),15000,Ferrite (/Lotus/Types/Items/MiscItems/Ferrite),60000,Rubedo (/Lotus/Types/Items/MiscItems/Rubedo),30000,Forma (/Lotus/Types/Items/MiscItems/Forma),25,86400,100000,1500
/Lotus/Levels/ClanDojo/ClanDojoBarracksShadow.level,Alloy Plate (/Lotus/Types/Items/MiscItems/AlloyPlate),15000,Ferrite (/Lotus/Types/Items/MiscItems/Ferrite),60000,Rubedo (/Lotus/Types/Items/MiscItems/Rubedo),30000,Forma (/Lotus/Types/Items/MiscItems/Forma),25,86400,100000,1500
/Lotus/Levels/ClanDojo/ClanDojoBarracksStorm.level,Alloy Plate (/Lotus/Types/Items/MiscItems/AlloyPlate),15000,Ferrite (/Lotus/Types/Items/MiscItems/Ferrite),60000,Rubedo (/Lotus/Types/Items/MiscItems/Rubedo),30000,Forma (/Lotus/Types/Items/MiscItems/Forma),25,86400,100000,1500
